# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-01-30 at 13:45:05
#
# Requested input R.A. = 164.0115967 degrees
# Requested input Dec. = 56.2042623 degrees
# Requested JD start = 2459665.9697106 days
# Requested JD end = 2460065.9697106 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 787 9 0 ZTF_g 1917422913215 4194304 1.7958 136.152 6.57771 26.1919 3.27733e-05 0.0383253 -0.102892 4.43336e-05 308 30. 0.128581 0.082411 17.4781 26.1919 1 2459671.9229167 787120132 1 6.99137039338531 15.9990110903345 0.486098155020776 2.62687387243774 -39.2514320887771 28.6520501345914 -1.37916109167055 1.08051911468951 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 1 788 12 1 ZTF_g 1917428194515 0 1.8689 134.226 5.50678 26.2719 1.76995e-05 0.0299942 -0.080611 2.51602e-05 322 30. 0.094076 0.072628 20.6644 26.2719 1 2459671.9281944 788120145 1 -34.795883549169 26.908330634353 -1.43845378858848 1.64820758643176 -88.3926864357565 50.2179137866837 -1.7720372981357 1.0544235478652 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 2 787 9 0 ZTF_g 1920388563215 4194304 2.3711 135.511 7.87786 26.1986 3.12754e-05 0.0372743 -0.0775074 4.34204e-05 300 30. 0.123674 0.083588 17.4695 26.1986 1 2459674.8885648 787120132 1 -113.578343911375 36.1702586918421 -3.49300106584062 1.11129373460617 -92.8092516478221 64.2598327112734 -1.45400825609449 1.07967978358491 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 3 788 12 1 ZTF_g 1920410134515 0 2.6967 132.303 6.44152 26.2451 2.68982e-05 0.0364286 -0.0507293 4.0108e-05 308 30. 0.105379 0.089934 20.1407 26.2451 1 2459674.9101389 788120145 1 26.2062914939199 40.0485995662168 0.727902203986158 0.951858558921436 63.8245022979546 63.3565237101663 1.01417123652505 1.07978816823991 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 4 788 12 1 ZTF_g 1922302104515 0 3.3203 138.322 5.9804 26.2976 3.28404e-05 0.0394214 -0.0562391 5.2746e-05 287 30. 0.115716 0.091894 20.1055 26.2976 1 2459676.8021065 788120145 1 34.8698963936894 39.1843469342587 0.989903466491281 1.05916678797403 32.2278116287617 55.0859665762141 0.588986085038857 1.10978565607194 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 5 787 9 0 ZTF_g 1922325273215 4194304 3.3411 114.835 5.39491 26.1759 4.64401e-05 0.0438236 -0.0561351 7.40273e-05 261 30. 0.143229 0.09712 20.1334 26.1759 1 2459676.8252778 787120132 1 6.35535741791558 35.7937626720584 0.197509244004497 1.1630357666928 -20.7755211631625 50.6353886350387 -0.413059839320381 1.13426016961318 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 6 787 9 0 ZTF_r 1922348103215 4194304 2.9708 185.598 6.63679 26.1668 3.0462e-05 0.0365912 0.117577 4.08809e-05 305 30. 0.11533 0.094525 20.0107 26.1668 1 2459676.8481019 787120232 1 -50.1446673929063 39.4367246131567 -1.41442107363825 1.41292036003972 -27.901973281399 60.2128476825469 -0.466509985126127 1.09803322364125 0.462397800485168 17.9640001296997 0.0590000003576279 4.32499980926514 0.386999994516373 2458160.745150 2458229.694375 0
 7 788 12 1 ZTF_r 1922371384515 0 3.9045 238.868 7.35385 26.1844 3.18546e-05 0.0394278 0.138416 4.46481e-05 323 30. 0.125298 0.102132 19.6273 26.1844 1 2459676.8713889 788120245 1 50.2012246390562 54.6234303369773 1.02232773388821 0.895986148365785 115.992264243961 70.4012178286263 1.65868549463879 1.18356052753402 0.551987440985924 17.8479999542236 0.0610000006854534 4.52099990844727 0.305999994277954 2458182.832801 2458224.749641 0
 8 787 9 0 ZTF_i 1923264793215 0 2.6053 398.86 6.77212 25.6402 6.1004e-06 0.0260633 0.194931 1.92412e-05 317 30. 0.110767 0.086653 19.5404 25.6402 2 2459677.7647917 787120332 1 45.1133745156778 39.9318099897268 1.25672750157534 1.23833792055332 18.3399233956323 64.7139257407065 0.285308666157364 1.09366466513875 0.406091475756576 17.3470002746582 0.0659999996423721 4.44299983978271 0.331999987363815 2458174.769132 2458561.945544 0
